time;V(/BIT_0);V(/BIT_1);V(/BIT_2);V(/Shaped_Out);
4.27442e-06;0;0;0;0.0154064;
4.28442e-06;0;0;0;0.0152529;
4.29442e-06;0;0;0;0.015101;
4.30442e-06;0;0;0;0.0149506;
4.31442e-06;0;0;0;0.0148016;
4.32442e-06;0;0;0;0.0146542;
4.33442e-06;0;0;0;0.0145082;
4.34442e-06;0;0;0;0.0143637;
4.35442e-06;0;0;0;0.0142206;
4.36442e-06;0;0;0;0.0140789;
4.37442e-06;0;0;0;0.0139387;
4.38442e-06;0;0;0;0.0137998;
4.39442e-06;0;0;0;0.0136623;
4.40442e-06;0;0;0;0.0135262;
4.41442e-06;0;0;0;0.0133915;
4.42442e-06;0;0;0;0.0132581;
4.43442e-06;0;0;0;0.013126;
4.44442e-06;0;0;0;0.0129952;
4.45442e-06;0;0;0;0.0128657;
4.46442e-06;0;0;0;0.0127376;
4.47442e-06;0;0;0;0.0126107;
4.48442e-06;0;0;0;0.012485;
4.49442e-06;0;0;0;0.0123606;
4.50442e-06;0;0;0;0.0122375;
4.51442e-06;0;0;0;0.0121156;
4.52442e-06;0;0;0;0.0119949;
4.53442e-06;0;0;0;0.0118754;
4.54442e-06;0;0;0;0.0117571;
4.55442e-06;0;0;0;0.0116399;
4.56442e-06;0;0;0;0.0115239;
4.57442e-06;0;0;0;0.0114091;
4.58442e-06;0;0;0;0.0112955;
4.59442e-06;0;0;0;0.0111829;
4.60442e-06;0;0;0;0.0110715;
4.61442e-06;0;0;0;0.0109612;
4.62442e-06;0;0;0;0.010852;
4.63442e-06;0;0;0;0.0107439;
4.64442e-06;0;0;0;0.0106368;
4.65442e-06;0;0;0;0.0105308;
4.66442e-06;0;0;0;0.0104259;
4.67442e-06;0;0;0;0.010322;
4.68442e-06;0;0;0;0.0102192;
4.69442e-06;0;0;0;0.0101173;
4.70442e-06;0;0;0;0.0100165;
4.71442e-06;0;0;0;0.00991673;
4.72442e-06;0;0;0;0.00981792;
4.73442e-06;0;0;0;0.00972009;
4.74442e-06;0;0;0;0.00962324;
4.75442e-06;0;0;0;0.00952735;
4.76442e-06;0;0;0;0.00943242;
4.77442e-06;0;0;0;0.00933843;
4.78442e-06;0;0;0;0.00924537;
4.79442e-06;0;0;0;0.00915324;
4.80442e-06;0;0;0;0.00906203;
4.81442e-06;0;0;0;0.00897173;
4.82442e-06;0;0;0;0.00888233;
4.83442e-06;0;0;0;0.00879382;
4.84442e-06;0;0;0;0.00870619;
4.85442e-06;0;0;0;0.00861943;
4.86442e-06;0;0;0;0.00853353;
4.87442e-06;0;0;0;0.00844849;
4.88442e-06;0;0;0;0.0083643;
4.89442e-06;0;0;0;0.00828095;
4.90442e-06;0;0;0;0.00819842;
4.91442e-06;0;0;0;0.00811672;
4.92442e-06;0;0;0;0.00803583;
4.93442e-06;0;0;0;0.00795575;
4.94442e-06;0;0;0;0.00787646;
4.95442e-06;0;0;0;0.00779796;
4.96442e-06;0;0;0;0.00772025;
4.97442e-06;0;0;0;0.00764331;
4.98442e-06;0;0;0;0.00756713;
4.99442e-06;0;0;0;0.00749171;
5.00442e-06;0;0;0;0.00741705;
5.01442e-06;0;0;0;0.00734313;
5.02442e-06;0;0;0;0.00726994;
5.03442e-06;0;0;0;0.00719748;
5.04442e-06;0;0;0;0.00712575;
5.05442e-06;0;0;0;0.00705472;
5.06442e-06;0;0;0;0.00698441;
5.07442e-06;0;0;0;0.00691479;
5.08442e-06;0;0;0;0.00684587;
5.09442e-06;0;0;0;0.00677764;
5.10442e-06;0;0;0;0.00671008;
5.11442e-06;0;0;0;0.0066432;
5.12442e-06;0;0;0;0.00657698;
5.13442e-06;0;0;0;0.00651142;
5.14442e-06;0;0;0;0.00644652;
5.15442e-06;0;0;0;0.00638226;
5.16442e-06;0;0;0;0.00631864;
5.17442e-06;0;0;0;0.00625565;
5.18442e-06;0;0;0;0.0061933;
5.19442e-06;0;0;0;0.00613156;
5.20442e-06;0;0;0;0.00607044;
5.21442e-06;0;0;0;0.00600992;
5.22442e-06;0;0;0;0.00595001;
5.23442e-06;0;0;0;0.00589069;
5.24442e-06;0;0;0;0.00583197;
5.25442e-06;0;0;0;0.00577383;
5.26442e-06;0;0;0;0.00571627;
5.27442e-06;0;0;0;0.00565928;
5.28442e-06;0;0;0;0.00560286;
5.29442e-06;0;0;0;0.005547;
5.30442e-06;0;0;0;0.0054917;
5.31442e-06;0;0;0;0.00543695;
5.32442e-06;0;0;0;0.00538274;
5.33442e-06;0;0;0;0.00532908;
5.34442e-06;0;0;0;0.00527594;
5.35442e-06;0;0;0;0.00522334;
5.36442e-06;0;0;0;0.00517126;
5.37442e-06;0;0;0;0.0051197;
5.38442e-06;0;0;0;0.00506865;
5.39442e-06;0;0;0;0.00501811;
5.40442e-06;0;0;0;0.00496808;
5.41442e-06;0;0;0;0.00491854;
5.42442e-06;0;0;0;0.00486949;
5.43442e-06;0;0;0;0.00482094;
5.44442e-06;0;0;0;0.00477286;
5.45442e-06;0;0;0;0.00472527;
5.46442e-06;0;0;0;0.00467815;
5.47442e-06;0;0;0;0.0046315;
5.48442e-06;0;0;0;0.00458531;
5.49442e-06;0;0;0;0.00453959;
5.50442e-06;0;0;0;0.00449431;
5.51442e-06;0;0;0;0.00444949;
5.52442e-06;0;0;0;0.00440512;
5.53442e-06;0;0;0;0.00436119;
5.54442e-06;0;0;0;0.00431769;
5.55442e-06;0;0;0;0.00427463;
5.56442e-06;0;0;0;0.004232;
5.57442e-06;0;0;0;0.00418979;
5.58442e-06;0;0;0;0.004148;
5.59442e-06;0;0;0;0.00410663;
5.60442e-06;0;0;0;0.00406567;
